Session;Nb crottes lot;Conclusion;code_lot_Client
S04_2020;2;europaeus seul;bois_delioras_3_17584
S04_2020;2;europaeus seul;bois_delioras_3_18163
S04_2020;2;europaeus seul;bois_delioras_3_18164
S04_2020;2;europaeus seul;bois_delioras_3_18742
S04_2020;2;timidus seul;bois_delioras_3_19326
S04_2020;2;timidus seul;bois_delioras_3_19330
S04_2020;2;europaeus seul;bois_delioras_3_21070
S04_2020;2;2 espèces;bois_delioras_3_21653
S04_2020;2;europaeus seul;bois_delioras_3_22231
S04_2020;2;europaeus seul;bois_delioras_3_22232
S04_2020;2;timidus seul;font_crese_31_30365
S04_2020;2;timidus seul;font_crese_31_30369
S04_2020;2;timidus seul;moutiere_29_73350
S04_2020;2;timidus seul;moutiere_29_74514
S04_2020;2;timidus seul;tete_sanguinere_35_81488
S04_2020;2;timidus seul;tete_sanguinere_35_83227
S04_2020;2;timidus seul;tete_sanguinere_35_83231
S04_2020;2;timidus seul;tete_sanguinere_35_85552
S04_2020;2;timidus seul;tete_sanguinere_35_86709
S04_2020;2;timidus seul;gipiere_48_87285
S04_2020;2;timidus seul;gipiere_48_87867
S04_2020;2;timidus seul;rougnouse_42_88369
S04_2020;2;timidus seul;gipiere_48_88449
S04_2020;2;timidus seul;rougnouse_42_88948
S04_2020;2;timidus seul;gipiere_48_89025
S04_2020;2;timidus seul;gipiere_48_89604
S04_2020;2;timidus seul;gipiere_48_90185
S04_2020;2;timidus seul;gipiere_48_91347
S04_2020;2;timidus seul;gipiere_48_91353
S04_2020;2;timidus seul;gipiere_48_92509
S04_2020;2;aucune;gipiere_48_92511
S04_2020;2;aucune;pres_hauts_34_94213
S04_2020;2;timidus seul;pres_hauts_34_95956
S04_2020;2;europaeus seul;pres_hauts_34_95957
S04_2020;2;timidus seul;villard_38_104714
S04_2020;2;europaeus seul;villard_38_105291
S04_2020;2;timidus seul;villard_38_105295
S04_2020;2;2 espèces;villard_38_105297
S04_2020;2;aucune;villard_38_106453
S04_2020;2;europaeus seul;villard_38_107035
S04_2020;2;europaeus seul;villard_38_108198
S04_2020;2;europaeus seul;villard_38_108780
S04_2020;2;europaeus seul;villard_38_108782
S04_2020;2;europaeus seul;villard_38_109361
S04_2020;2;europaeus seul;villard_38_109363
S04_2020;2;timidus seul;scluos_8_117675
S04_2020;2;timidus seul;scluos_8_119419
S04_2020;2;timidus seul;laupon_5_122673
S04_2020;2;timidus seul;laupon_5_124414
S04_2020;2;timidus seul;laupon_5_124998
S04_2020;2;timidus seul;adus_46_125822
S04_2020;2;timidus seul;laupon_5_126161
S04_2020;2;timidus seul;laupon_5_127320
S04_2020;2;aucune;sainte_marie_41_131147
S04_2020;2;timidus seul;sainte_marie_41_131148
S04_2020;2;timidus seul;sainte_marie_41_131150
S04_2020;2;timidus seul;sainte_marie_41_131732
S04_2020;2;europaeus seul;sainte_marie_41_132896
S04_2020;2;europaeus seul;millefonts_32_133357
S04_2020;3;timidus seul;bois_delioras_3_19911
S04_2020;3;timidus seul;tete_sanguinere_35_83805
S04_2020;3;timidus seul;tete_sanguinere_35_84389
S04_2020;3;timidus seul;tete_sanguinere_35_86710
S04_2020;3;timidus seul;rougnouse_42_88367
S04_2020;3;timidus seul;gipiere_48_88450
S04_2020;3;timidus seul;gipiere_48_89612
S04_2020;3;timidus seul;gipiere_48_90766
S04_2020;3;timidus seul;gipiere_48_90771
S04_2020;3;timidus seul;rougnouse_42_91274
S04_2020;3;timidus seul;rougnouse_42_91848
S04_2020;3;timidus seul;rougnouse_42_91851
S04_2020;3;europaeus seul;gipiere_48_91928
S04_2020;3;timidus seul;rougnouse_42_92431
S04_2020;3;aucune;pres_hauts_34_95374
S04_2020;3;timidus seul;pres_hauts_34_95958
S04_2020;3;europaeus seul;villard_38_108777
S04_2020;3;timidus seul;serre_27_115755
S04_2020;3;timidus seul;laupon_5_122096
S04_2020;3;timidus seul;laupon_5_122678
S04_2020;3;timidus seul;laupon_5_123835
S04_2020;3;timidus seul;laupon_5_123836
S04_2020;3;timidus seul;laupon_5_124417
S04_2020;3;europaeus seul;raton_10_153014
S04_2020;4;timidus seul;meyries_36_41387
S04_2020;4;timidus seul;moutiere_29_71605
S04_2020;4;timidus seul;moutiere_29_74515
S04_2020;4;timidus seul;tete_sanguinere_35_82642
S04_2020;4;timidus seul;tete_sanguinere_35_83806
S04_2020;4;2 espèces;rougnouse_42_88951
S04_2020;4;timidus seul;rougnouse_42_90694
S04_2020;4;timidus seul;rougnouse_42_92430
S04_2020;4;aucune;pres_hauts_34_95375
S04_2020;4;europaeus seul;villard_38_107614
S04_2020;4;europaeus seul;villard_38_108196
S04_2020;4;europaeus seul;villard_38_108197
S04_2020;4;timidus seul;laupon_5_123254
S04_2020;5;europaeus seul;gipiere_48_92513
S04_2020;5;timidus seul;scluos_8_116512
