"";"x";"y"
"1";1004334;6383062
"2";1004434;6382962
"3";1004134;6382862
"4";1004234;6382862
"5";1003934;6382762
"6";1003634;6382662
"7";1003734;6382662
"8";1003934;6382662
"9";1004334;6381862
"10";1004434;6381862
"11";1004734;6381562
"12";1004834;6381562
"13";1004234;6381462
"14";1004434;6381462
"15";1004234;6381362
"16";1004434;6381362
"17";1004534;6381362
"18";1004834;6381262
"19";1000534;6374562
"20";1000634;6374462
"21";985434;6358962
"22";985134;6358462
"23";985234;6358462
"24";985234;6358362
"25";999534;6357462
"26";999634;6357462
"27";999634;6357362
"28";1000434;6357362
"29";1000334;6357262
"30";1000434;6357262
"31";1000534;6357262
"32";1000234;6357162
"33";1000334;6357162
"34";1000434;6357162
"35";991934;6356062
"36";992034;6356062
"37";999834;6352962
"38";999634;6352862
"39";999734;6352862
"40";1000834;6352862
"41";999534;6352762
"42";1000834;6352762
"43";1000334;6352662
"44";1000734;6352462
"45";999534;6352262
"46";999734;6352262
"47";1000234;6352262
"48";999834;6352162
"49";1000534;6352162
"50";999434;6352062
"51";999534;6352062
"52";999734;6352062
"53";999934;6352062
"54";999334;6351962
"55";999434;6351962
"56";999534;6351862
"57";999834;6351862
"58";999534;6351762
"59";999634;6351762
"60";999734;6351762
"61";999834;6351762
"62";999934;6351762
"63";1000534;6351762
"64";999834;6351662
"65";999534;6351562
"66";999634;6351562
"67";1000234;6351562
"68";1000534;6351562
"69";1000634;6351562
"70";1000134;6351462
"71";1000234;6351462
"72";1000634;6351462
"73";1000534;6351362
"74";1000034;6350462
"75";999834;6350362
"76";1034934;6343562
"77";1059234;6343462
"78";1058834;6343362
"79";1059234;6343362
"80";1035234;6343262
"81";1035234;6343162
"82";1017434;6336962
"83";1015734;6336362
"84";1015834;6336362
"85";1016434;6336062
