"";"pearson.correlation.coefficient.pente_PNM";"pearson.correlation.coefficient.tpi_PNM";"pearson.correlation.coefficient.pelouses_prairies_PNM";"pearson.correlation.coefficient.landes_PNM";"pearson.correlation.coefficient.forets_PNM";"pearson.correlation.coefficient.dist_troncon_eau_PNM";"pearson.correlation.coefficient.dist_foret_PNM";"pearson.correlation.coefficient.dist_ski_PNM";"pearson.correlation.coefficient.neige_PNM";"pearson.correlation.coefficient.dist_bati_PNM";"mean"
"pente_PNM";1;0,129959664402216;-0,365683630606989;0,213429996016392;0,190275609240332;-0,0470174483571605;-0,111215930044428;0,162417527849869;-0,2422998883754;0,0219106566208817;2,32800479080642e-17
"tpi_PNM";0,129959664402216;1;-0,0402436284521148;0,0137321301915732;-0,124326218575862;0,237613495490082;0,0994345075515099;0,00215217778578757;0,11167444443244;0,0494177093008345;-1,70549793666702e-17
"pelouses_prairies_PNM";-0,365683630606989;-0,0402436284521148;1;-0,0319981854891015;-0,518356303269758;-0,141175885464734;-0,0484292822491588;0,0102579434421833;0,113390920862358;0,0635346049158761;5,68995202204213e-17
"landes_PNM";0,213429996016392;0,0137321301915732;-0,0319981854891015;1;-0,0243370064896274;-0,0526162153473734;-0,157806206510096;0,0576365969990773;-0,307375137579857;-0,158408864929119;9,20330534537405e-17
"forets_PNM";0,190275609240332;-0,124326218575862;-0,518356303269758;-0,0243370064896274;1;-0,122283697557463;-0,562612562995928;0,0600420772013156;-0,684730355481439;-0,425216387598918;-1,4750924125367e-16
"dist_troncon_eau_PNM";-0,0470174483571605;0,237613495490082;-0,141175885464734;-0,0526162153473734;-0,122283697557463;1;0,151931493611538;0,0118772367141707;0,21765741923203;0,0633130549588143;-6,46933421925292e-17
"dist_foret_PNM";-0,111215930044428;0,0994345075515099;-0,0484292822491588;-0,157806206510096;-0,562612562995928;0,151931493611538;1;0,0343646136457929;0,619385460865352;0,488217006033222;-7,4459791337224e-17
"dist_ski_PNM";0,162417527849869;0,00215217778578757;0,0102579434421833;0,0576365969990773;0,0600420772013156;0,0118772367141707;0,0343646136457929;1;-0,11122315745536;0,241894279842201;7,00449043332615e-18
"neige_PNM";-0,2422998883754;0,11167444443244;0,113390920862358;-0,307375137579857;-0,684730355481439;0,21765741923203;0,619385460865352;-0,11122315745536;1;0,578089763475659;-1,08803611310222e-17
"dist_bati_PNM";0,0219106566208817;0,0494177093008345;0,0635346049158761;-0,158408864929119;-0,425216387598918;0,0633130549588143;0,488217006033222;0,241894279842201;0,578089763475659;1;-3,97744997184116e-17
